Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",402,2,27p,
"C10, C12, C22, C23, C25, C26, C4, C6, C7, C9",402,10,100n,
"C11, C3, C8",402,3,2.2u,
"C13, C5",402,2,1u,
"C14, C16, C24",805,3,10u,
C15,805,1,4.7u,
"C17, C18",402,2,1n,
"C19, C20",402,2,6.8n,
C21,402,1,220n,
C27,CP_Elec_6.3x7.7,1,22u,
"D1, D3",805,2,LED,
"D2, D4, D7, D8",D_SOD-123,4,B220,
D6,805,1,PWR,
F1,805,1,6V 0.5A,
"Q1, Q2",SOT-23,2,BSS84,
Q3,SOT-23,1,BSS123,
"R1, R10, R11, R22, R23, R6, R7, R8, R9",402,9,10k,
R12,402,1,1.18k,
R13,402,1,1.13k,
R14,R_Axial_DIN0411_L9.9mm_D3.6mm_P15.24mm_Horizontal,1,220,
"R15, R16, R24",402,3,470,
R17,402,1,100k,
"R18, R25, R4, R5",402,4,1k,
R19_2,805,1,47,
R19,402,1,47,
"R2, R3",402,2,27,
"R20, R21",402,2,4.7K,
SW1,SW_PUSH_6mm,1,Select,
SW2,SW_DIP_SPSTx08_Slide_6.7x21.88mm_W7.62mm_P2.54mm_LowProfile,1,SW_DIP_x08,
SW3,SW_PUSH_6mm,1,Bootsel,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC165,
U3,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24072RGT,
U5,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U6,SOT-223-3_TabPin2,1,AMS1117-3.3,
